,TRUTH,FULL_NEWS,cluster
25,FALSE,U.S. Vice President Mike Pence took over the Trump administration's response to an outbreak of a new coronavirus. He Touch NASA gear labeled ‘Do Not Touch’,3
26,FALSE,"U.S. President Barack Obama waited until millions were infected and thousands were dead before declaring a public health emergency concerning swine flu, the H1N1 virus",11
27,TRUE,14 People with coronavirus took on a plane to US with uninfected passengers,15
28,FALSE,Donald Trump owned stock in Thermo-Fisher Scientific at a time when his presidential administration was advocating for a COVID-19 test that uses Thermo-Fisher equipment,16
29,TRUE,"Denver councilwoman Candi CdeBaca tweeted ""#solidarity"" in response to a post suggesting that, if infected with new coronavirus, a person would attend as many Trump rallies as possible",4
30,FALSE,"The White House sent out text messages in mid-March 2020 informing people that a ""mandatory quarantine"" in U.S. would start within 48 hours",15
31,TRUE,"Congress has passed a US$8.3 billion coronavirus response bill, which includes $2.2 billion for the CDC to “prevent, prepare for, and respond to coronavirus, domestically or internationally.”",0
32,TRUE,New York Governor Andrew Cuomo called the federal government’s response to the coronavirus outbreak “absurd and nonsensical.”,3
33,FALSE,"If you get sick with coronavirus, Donald Trump can make you stay home",0
34,TRUE,"If you get sick with coronavirus, an U.S. government official in your community can make you stay home",6
35,FALSE,A Chinese intelligence officer revealed that a new coronavirus was developed in a lab as a bioweapon,4
36,FALSE,"A major disease outbreak occurred in ""every election year"" since 2004",3
37,FALSE,"The fictional ""Umbrella Corporation"" from the game ""Resident Evil"" shares a logo with a biotech lab in Wuhan, Hubei Province in China, where a new coronavirus is believed to have originated",7
38,FALSE,A photograph shows a railroad tank car identified as carrying 'COVID-19.',16
39,FALSE,A traveler from Beijing was caught at Dulles International Airport with a suitcase full of dead birds that the person tried to disguise as pet food,0
40,FALSE,A Nostradamus prophecy foretells the 2020 COVID-19 coronavirus disease pandemic,2
41,FALSE,"Self-described psychic Sylvia Browne ""predicted"" a 2020 outbreak of the new coronavirus",3
42,FALSE,"Author Dean Koontz predicted the 2020 new coronavirus outbreak in his 1981 novel ""The Eyes of Darkness.""",3
43,FALSE,"""The Simpsons"" TV show predicted the 2020 new coronavirus outbreak in a 1993 episode",3
44,TRUE,"Dr. Abdu Sharkawy, an infectious diseases specialist, penned a viral Facebook post warning about the loss of reason in the face of panic over the new coronavirus in 2020",4
45,FALSE,"The ability to differentiate the “common cold” from “coronavirus pneumonia”, interpreted here as COVID-19 is based on the presence or absence of mucus or phlegm, which is also known as sputum, during coughing",16
46,FALSE,Coronaviruses will die at the first exposure to sun,0
47,TRUE,"Coronaviruses as a group are more susceptible to inactivation from ultraviolet radiation than other groups of viruses, like adenoviruses",0
48,TRUE,The coronavirus survive longer on metal surfaces,0
49,TRUE,"We found that viable [COVID-19] virus could be detected in aerosols up to 3 hours post aerosolization, up to 4 hours on copper, up to 24 hours on cardboard and up to 2-3 days on plastic and stainless steel",11
50,FALSE,Ingestion of cold drinks and food can cause or exacerbate health conditions such as URTI,19
51,TRUE,Gargling helps stem the transmission of viral diseases that cause URTIs,0
52,TRUE,A letter providing tips on how to protect against the new coronavirus was authored by pathologist James Robb,4
53,FALSE,Sales of Corona beer dropped sharply in early 2020 because consumers mistakenly associated the brand name with the new coronavirus,4
54,FALSE,You can get the coronavirus by drinking Corona beer,0
55,FALSE,U.S. Vice President Mike Pence introduced a program to cure new coronavirus carriers with the discredited practice of conversion therapy,4
56,FALSE,"U.S. Vice President Mike Pence believes turn gay people straight, Pence claimed “No-one is born with coronavirus, so the key is making them hate everything about themselves. Then and only then will they reject their unhealthy attachment to this so-called respiratory virus.”",11
57,FALSE,"In February 2020 the Vatican said that Pope Francis and two aides had tested positive for COVID-19, a disease caused by a new coronavirus",19
58,FALSE,The Vatican has confirmed in a statement that Pope Francis and two of his aides have tested positive for the novel Coronavirus,5
59,FALSE,Parents can receive a case of baby formula during the COVID-19 pandemic by calling the number on the back of the company's product,2
60,TRUE,A few McDonald's locations in North Carolina announced in March 2020 that they will provide free lunches to school-age children as families deal with the spread of COVID-19,12
61,FALSE,Every McDonald's is giving free lunches to school-age children during the COVID-19 pandemic,2
62,FALSE,Red Cross workers are knocking on doors of people's homes and selling coronavirus home tests,15
63,TRUE,The U.S. government has since taken steps to roll out widespread testing for the coronavirus disease at no cost to patients,6
64,TRUE,"A spokesperson for the World Health Organization said that fainting in this manner from coronavirus would be ""atypical.""",19
65,FALSE,Sticking a blow dryer in your face or sitting in a sauna and breathing in hot air would kill the coronavirus,0
66,FALSE,Medical professionals and institutions recommend people breathe hot air to kill the coronavirus,15
67,TRUE,"Amid a nationwide COVID-19 lockdown, Italians reported seeing wildlife such as swans and dolphins ""returning"" to newly tranquil waterways, ports, and canals",16
68,FALSE,"An MSNBC reporter said on air: ""I hope enough people die from coronavirus that it harms Trump's reelection.""",19
69,FALSE,Rapper Eminem was the first celebrity to be diagnosed with new coronavirus in February 2020,4
70,FALSE,"BBC News reported that actor Daniel Radcliffe was the ""first famous person"" to contract the coronavirus",0
71,FALSE,Staff at Gold Coast Hospital in Australia rolled in a Wilson volleyball to keep Tom Hanks company in quarantine after he was diagnosed with the coronavirus,8
72,TRUE,"On March 11, 2020, actors Tom Hanks and Rita Wilson announced that they had been diagnosed with COVID-19, the disease caused by the coronavirus spreading around the globe, while they were abroad",16
73,TRUE,"Presidential nominating contests in the U.S. are being pushed back, and a $1 trillion-plus U.S. economic rescue package is being negotiated",0
74,TRUE,"Supplies including protective gear, respirators and hand sanitizer are dwindling",0
75,TRUE,"A photograph posted on social media in March 2020 shows an authentic image of U.S. President Donald Trump's speech notes with the word ""Corona"" scratched out and replaced in handwriting by ""Chinese.""",0
76,TRUE,The rapidly spreading coronavirus pandemic is taking a particularly harsh toll on older people,15
77,TRUE,USA Today published a front-page article about the development of a COVID-19 vaccine the same day Kobe Bryant's death was reported,16
78,TRUE,"Across a country where lines are long, some shelves are empty and patience is thin, authorities are receiving a surge of reports about merchants trying to cash in on the coronavirus crisis with outrageous prices, phony cures and other scams. An Associated Press survey of attorneys general or consumer protection agencies nationwide found reports already exceeded 5,000, with hundreds more arriving daily",0
79,TRUE,"Coronavirus layoffs spark surge in state jobless claims. In Ohio, more than 48,000 people applied for jobless benefits in two days. The tally during the same period the prior week: just 1,825",15
80,TRUE,"Four Brooklyn Nets players, including Kevin Durant, have tested positive for the new coronavirus, bringing the total to seven known players in the NBA",4
81,TRUE,"WASHINGTON (AP) — A clinical trial evaluating a vaccine designed to protect against the new coronavirus will begin Monday, according to a government official",6
82,TRUE,CBS News shut down its New York City headquarters for cleaning and disinfecting after two of its employees tested positive for coronavirus,4
83,TRUE,Health officials confirmed another case of the novel coronavirus in Northern California,5
84,TRUE,President Donald Trump called NBC News correspondent Peter Alexander a “terrible reporter” during a White House news briefing for asking what he would say to Americans who are scared about the coronavirus,0
85,TRUE,New York Governor Andrew Cuomo announced he was directing all workers in nonessential business to stay home and banned gatherings statewide,4
86,TRUE,"During the outbreak, business has more than doubled at the Winhall Market near Stratton Mountain Ski Resort in southern Vermont, as residents of New York and Boston pour in",3
87,TRUE,"Valencia, Spain, has closed its beaches to prevent people fleeing the virus from coming there, and leading to a reverse migration away from the shore",11
88,TRUE,"Monaco’s head of state Prince Albert II contracts coronavirus. In a statement, the palace said Albert is continuing to work from his home office",19
89,TRUE,Elba is the latest high profile celebrity to have tested positive for the virus,11
90,TRUE,"NY, NJ, Connecticut close bars, eateries to fight coronavirus. The governors of all three states said essential businesses such as supermarkets and gas stations will be able to stay open after 8 p.m. Monday, though all non-essential businesses must close. Restaurants will be able to offer take-out and delivery",19
91,TRUE,"The Supreme Court announced Monday that it is postponing arguments for late March and early April because of the coronavirus, including fights over subpoenas for President Donald Trump’s financial records",0
92,TRUE,"The coronavirus can live in the air for several hours, up to 24 hours on cardboard and up to two to three days on plastic and stainless steel. Cleaning surfaces with solutions containing diluted bleach should kill it",0
93,FALSE,"Donating blood requires that you be administered a free test for the COVID-19, a disease caused by the coronavirus",16
94,FALSE,You will get a free coronavirus test by donating blood,0
95,TRUE,A second person who was at Mar-a-Lago with President Donald Trump has tested positive for coronavirus. That's according to a Republican official who spoke on condition of anonymity in order to discuss private health matters,19
96,TRUE,Trump declares coronavirus pandemic a national emergency. The president said it would free up as much as $50 billion for state and local governments to respond to the outbreak,3
97,TRUE,Boston marathon postponed until Sept. 14 to prevent coronavirus spread,12
98,TRUE,The novel coronavirus can live for two to three days on plastic and stainless steel,5
99,FALSE,A map from Johns Hopkins University that shows the spread of COVID-19 contains malware,12
100,TRUE,Disneyland closes as California rushes to battle coronavirus,0
101,TRUE,Cristina Higgins authored a personal account about the spread of COVID-19 in Italy,12
102,TRUE,"“We have friends who are getting sick. It’s very stressful,” Higgins told NBC News over the phone from her home in Bergamo, where she, like everyone else, is under government-ordered home isolation, even though she and her family are not sick",0
103,FALSE,COVID-19 is same as flu,16
104,TRUE,"Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, told the House Oversight and Reform Committee that COVID-19 was at least “10 times as lethal” as the seasonal flu",16
105,TRUE,"Italy has restricted public gatherings and travel for all 60 million of its residents. Nonessential businesses such as restaurants and bars have been closed, and the country is encouraging social distancing. Food stores and pharmacies are about the only businesses that will be allowed to stay open until restrictions are lifted",0
106,TRUE,Intensive care units in Italy are operating at capacity,0
107,TRUE,"If the numbers of contagion do not start to go down, the system, Italy, will collapse. Why? Today the ICUs in Lombardy are at capacity – more than capacity. They have begun to put ICU units in the hallways. If the numbers do not go down, the growth rate of contagion tells us that there will be thousands of people who in a matter of a week? two weeks? who will need care. What will happen when there are 100, or a 1000 people who need the hospital and only a few ICU places left",15
108,TRUE,"NHL suspends season amid coronavirus pandemic. NHL Commissioner Gary Bettman said there are hopes of resuming the season, holding the playoffs and still handing out the Stanley Cup",19
109,TRUE,Broadway shuts its doors to prevent coronavirus spread,12
110,TRUE,MLB delays opening day by at least 2 weeks because of coronavirus,0
111,TRUE,NY fed to buy a range of treasurys to try to ease coronavirus jitters,0
112,TRUE,US capitol closing to public until April amid coronavirus outbreak,3
113,TRUE,NBA suspends season until further notice over coronavirus,0
114,FALSE,Holding your breath is a ‘simple self-check’ for coronavirus,0
115,TRUE,WHO declares that coronavirus crisis is now a pandemic,2
116,FALSE,Drinking boiled water will prevent coronavirus,0
117,FALSE,"In the midst of the novel coronavirus outbreak, some influencers are claiming that taking mega-doses of vitamin C can cure COVID-19",5
118,FALSE,"Eating oranges, broccoli and potatoes as much as possible can cure COVID-19",16
119,TRUE,Stocks plummet amid coronavirus fears and oil-price crash,0
120,TRUE,President Donald Trump signed an $8.3 billion measure to help tackle the coronavirus outbreak that has killed 12 people in the U.S. and infected more than 200,14
121,FALSE,Drinking vodka can bfight the coronavirus,0
122,FALSE,"Pet cats and dogs cannot pass the new coronavirus on to humans, but they can test positive for low levels of the pathogen if they catch it from their owners",4
123,TRUE,"With deaths spiking in Iran and Italy and infections spreading quickly through Europe, the Mideast and the Americas, countries were considering new drastic measures to curb the new coronavirus",4
124,TRUE,"Schools across the United States are canceling trips abroad, preparing online lessons and even rethinking “perfect attendance” awards as they brace for the possibility that the new coronavirus could begin spreading in their communities",4
125,FALSE,Officials are warning that popping bubble wrap from China could expose one to coronavirus,7
126,TRUE,"Biden claimed that the World Health Organization “offered the [coronavirus] testing kits that they have available” to the U.S., but “we refused them.” Trump claimed it ""was a bad test."" Both are wrong",19
127,FALSE,There Is A National Lockdown And The Entire Country Will Be Quarantined For Two Weeks,0
128,FALSE,FEMA Has Deployed Military Assets,0
129,FALSE,I Need To Stockpile As Many Groceries And Supplies As I Can,0
130,FALSE,"I Heard That The U.S. Government Is Sending $1,000 Checks",6
131,FALSE,Only Those Over 60 Years Of Age And Those With Existing Health Problems Are At Risk From The Coronavirus,19
132,FALSE,President Trump is going to announce a mandatory two-week quarantine for the whole country is going viral,0
133,FALSE,"The administration has barred people from high-risk countries from traveling to the United States. The director of the National Institute of Allergy and Infectious Diseases, Dr. Anthony S. Fauci, also told Americans to “hunker down.”",15
134,TRUE,"The Trump administration has proposed a plan to provide direct payments to some U.S. citizens, beginning April 6, to blunt the economic impact of the coronavirus",0
135,TRUE,The Trump administration recently announced plans for a $1 trillion emergency stimulus package to alleviate economic strain caused by the coronavirus pandemic,2
136,FALSE,"The U.S. government is sending out hundreds of dollars per week to each U.S. citizen “starting from” either March 16 or March 17, depending on the post",6
137,FALSE,"All US Citizens are Entitled to $700 USD per week to stay at home to avoid the spread of COVID-19 novel Coronavirus, starting from March 17, 2020,” states one post, which has garnered more than 5,000 shares. “The Government grant pay is accessible to all no matter employment status",5
138,FALSE,The government — or specific states such as Michigan or Florida — has mandated that employers and schools close for two weeks in response to the coronavirus,6
139,FALSE,"The U.S. government have announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting from March 6, 2020.3.23",6
140,FALSE,All schools are to close for 2 weeks also from March 6th … Offices will resume after 2 weeks of the mandatory closure. A list of all schools and businesses in your area is shown on the list,0
141,FALSE,Remdesivir has been approved for consumer use,0
142,TRUE,"Remdesivir has only been approved for a clinical trial, not for consumer use",0
143,FALSE,"Nancy Pelosi wouldn’t release 8.5 billion for Coronavirus without abortion funding, so Trump went around her to declare a National Emergency and got 50 billion",0
144,TRUE,"“8.5 billion” refers to a different bill — the Coronavirus Preparedness and Response Supplemental Appropriations Act — that the Democrat-controlled House passed on March 4. It provides $8.3 billion for federal agencies to respond to the outbreak (which was more than the $2.5 billion originally requested by the White House). The Republican-led Senate approved the measure the next day, and President Donald Trump signed it into law on March 6, days before the post appeared on Facebook",3
145,FALSE,As the White House and Congress work on a massive stimulus package to address the novel coronavirus pandemic — which could result in payments to individual taxpayers — social media users suggests such aid could be withheld from critics of President Donald Trump,5
146,FALSE,"Donald Trump:Yes, I ordered the Treasury Secretary to send checks to Americans! First however, we will go through your social media history from the last 4 years and search for any post with #NotMyPresident in it. I wouldn’t think of offending you with a check if I’m not your president! #MAGA",0
147,TRUE,"In some cases people have been found to be infected, but clear of any symptoms",14
148,TRUE,Asymptomatic people can transmit the coronavirus to others,15
149,TRUE,"It is possible to contract the coronavirus by touching a contaminated surface and then touching your mouth, nose or even eyes",0
150,TRUE,"The CDC advises people to wash their hands frequently, with soap and water for a minimum of 20 seconds, avoid touching their faces with unwashed hands, avoid close contact with sick individuals, and avoid social interactions generally to prevent community spread",15
151,FALSE,"“People are dying who have never died before.” – Donald J. Trump, March 18, 2020",15
152,FALSE,"Viral posts on social media claim COVID-19 is no worse than other outbreaks that have occurred in “every election year,” suggesting that the new coronavirus is being “hyped” to hurt President Donald Trump",4
153,FALSE,A viral image of a whiteboard sign claiming to have been “Posted at a Doctors office today” purportedly lists disease outbreaks that occurred in “every election year” since 2004. The image says the new coronavirus is “being hyped as The Black Plague.” One Facebook post that shared the photo includes a comment that the new coronavirus “is hyped to make Trump look bad.”,4
154,FALSE,Every election year has a disease: SARS-2004 Avian-2008 Swine-2010 MERS-2012 Ebola-2014 Zika-2016 Ebola-2018 Corona-2020,0
155,FALSE,The spread of COVID-19 is leveling off,12
156,FALSE,COVID-19 is definitely not leveling off in the U.S,16
157,FALSE,President Donald Trump and other officials misleadingly suggested that tech behemoth Google was working on a screening website that large numbers of Americans could soon use to see if they should be tested for the new coronavirus,4
158,FALSE,"Google is helping to develop a website. It’s going to be very quickly done, unlike websites of the past, to determine whether a test is warranted and to facilitate testing at a nearby convenient location. We have many, many locations behind us, by the way. We cover the — this country in large part. So the world, by the way — we’re not going to be talking about the world right now. But we cover very, very strongly our country. Stores in virtually every location. Google has 1,700 engineers working on this right now. They’ve made tremendous progress. Our overriding goal is to stop the spread of the virus and to help all Americans who have been impacted by this",11
159,TRUE,There is currently no specific medicine recommended to prevent or treat the new coronavirus,4
160,FALSE,"Before it reaches the lungs, the coronavirus remains in the throat for four days and that drinking a lot of water and gargling with warm water & salt or vinegar eliminates the virus",11
161,FALSE,Drinking a lot of water will eliminate the coronavirus,0
162,TRUE,"While saline water or water with vinegar is sometimes used to help soothe a sore throat, but it doesn’t kill the virus",11
163,FALSE,President Donald Trump will impose a nationwide mandatory quarantine,0
164,FALSE,"Americans are to stock up on two weeks of supplies, and a mandatory nationwide quarantine will soon be implemented in response to the COVID-19 pandemic",2
165,FALSE,Within 48 to 72 Hours… The president will order a two week mandatory quarantine for the nation. Stock up on whatever you guys need to make sure you have a two week supply of everything. Please forward to your network,0
166,FALSE,The coronavirus is not so harmful. It was the least deadly and most-hyped by the media,0
167,FALSE,"“A friend just alerted me that her friend who works in the emergency management team at the NYPD plans to put containment actions in place this weekend,” it reads. “It will look like the metro north shutting down, limited subway service, and only emergency vehicles on the road.”",0
168,FALSE,"California is going to be quarantined. “State borders are closing because of the number of cases in CA,” it reads. “Businesses will close and we will only be able to move about for certain things not sure what.”",18
169,FALSE,"""From a friend at the Stanford hospital board. This is their feedback on Corona virus: The new Coronavirus may not show sign of infection for many days. How can one know if he/she is infected? By the time they have fever and/or cough and go to the hospital, the lung is usually 50% Fibrosis and it's too late...Taiwan experts provide a simple self-check that we can do every morning. Take a deep breath and hold your breath for more than 10 seconds. If you complete it successfully without coughing, without discomfort, stiffness or tightness, etc., it proves there is no Fibrosis in the lungs, basically indicates no infection. In critical time, please self-check every morning in an environment with clean air",8
170,FALSE,"Serious excellent advice by Japanese doctors treating COVID-19 cases: Everyone should ensure your mouth & throat are moist, never dry. Take a few sips of water every 15 minutes at least. Why? Even if the virus gets into your mouth, drinking water or other liquids will wash them down through your throat and into the stomach. Once there, your stomach acid will kill all the virus. If you don’t drink enough water more regularly, the virus can enter your windpipe and into the lungs. That's very dangerous. Please send and share this with family and friends. Take care everyone and may the world recover from this Coronavirus soon. Please forward to your kids and friends",11
171,FALSE,"If you have a runny nose and sputum, you have a common cold. Coronavirus pneumonia is a dry cough with no runny nose",0
172,FALSE,On fabric it can survive for 6-12 hours. normal laundry detergent will kill coronavirus,0
173,FALSE,Drinking warm water is effective for all viruses. Try not to drink liquids with ice,0
174,FALSE,You should also gargle as a prevention. A simple solution of salt in warm water will suffice,0
175,FALSE,"Serious excellent advice by Japanese doctors treating COVID-19 cases: Everyone should ensure your mouth & throat are moist, never dry. Take a few sips of water every 15 minutes at least. Why? Even if the virus gets into your mouth, drinking water or other liquids will wash them down through your throat and into the stomach. Once there, your stomach acid will kill all the virus. If you don't drink enough water more regularly, the virus can enter your windpipe and into the lungs. That's very dangerous. Please send and share this with family and friends. Take care everyone and may the world recover from this Coronavirus soon",11
176,FALSE,"The new Coronavirus may not show sign of infection for many days. How can one know if he/she is infected? By the time they have fever and/or cough and go to the hospital, the lung is usually 50% Fibrosis and it's too late (Fibrosis is not reversible). Taiwan experts provide a simple self-check that we can do every morning. Take a deep breath and hold your breath for more than 10 seconds. If you complete it successfully without coughing, without discomfort, stiffness or tightness, etc., it proves there is no Fibrosis in the lungs, basically indicates no infection. In critical times, please self-check every morning in an environment with clean air",8
177,TRUE,"While staying hydrated by drinking water is important for overall health, it does not prevent coronavirus infection",19
178,FALSE,The Trump administration cut the Centers for Disease Control and Prevention’s anti-pandemic work in over 40 countries to just 10,0
179,FALSE,"The CDC was preparing to dramatically reduce its work helping to prevent infectious-disease epidemics. Much of that work on the Global Health Security Agenda, a pact between over 60 nations that began in 2014, had been funded by a five-year, nearly $600 million supplemental package that was dwindling. That one-time funding, which Congress originally appropriated in response to the Ebola epidemic in West Africa in 2014, ran out at the end of September 2019",19
180,FALSE,"President Donald Trump said if people have symptoms of the new coronavirus infection, “doesn’t matter, go to work.”",4
181,FALSE,Trump said that sick people should go to work,19
182,FALSE,Beer drinkers are shunning Corona as a result of the new coronavirus,4
183,FALSE,Hand sanitizer will do nothing for the coronavirus,0
184,TRUE,The U.S. Centers for Disease Control and Prevention says hand sanitizers with 60% alcohol can be used to help prevent contracting and spreading the virus,11
185,FALSE,"Hand sanitizer is anti-bacterial and the coronavirus is a virus, so sanitizers will do nothing for the coronavirus",11
186,TRUE,"Alcohol-based hand-sanitizers are effective for inactivation of commonly transmitted bacteria and viruses, especially lipid-enveloped viruses like coronaviruses",0
187,TRUE,Experts recommend working the sanitizer fully over both hands until completely dry,0
188,FALSE,"The Government have announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting from March 6, 2020. All schools are to close for 2 weeks also from March 6th. Offices will resume after 2 weeks of the mandatory closure. A list of all schools and businesses in your area is shown on the list",6
189,FALSE,"The Government has announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting from March 6, 2020. Offices will resume after 2 weeks of the mandatory closure. Check the article for your place of work",6
190,FALSE,Schumer post the supposed tweet criticizing President Donald Trump’s decision to bar travelers from China,7
191,FALSE,"The US is charging over $3,000 per test” for patients who may have COVID-19",16
192,TRUE,"The U.S. Food and Drug Administration has authorized the use of two tests, one from the Centers for Disease Control and Prevention and one from the New York State Department of Public Health. Neither agency is currently charging patients for the test",4
193,TRUE,"Jennifer Kates, the director of global health and HIV policy at the Kaiser Family Foundation, said in a phone interview, “there could be other costs incurred.” Visits to the doctor’s office and the emergency room can cost patients money, she said, noting that some high-deductible insurance plans could effectively charge patients who go to the ER $1,000 or more",19
194,FALSE,"The novel coronavirus isn’t actually new, alleging it is proof of “how much the media controls people.”",5
195,FALSE,"Just in case you are wondering how much the media controls people, America has been vaccinating cattle for coronavirus for years,” the posts read, “yet the news tells you it’s new and gunna kill you all so go buy mask…",4
196,FALSE,The vaccine used to protect cattle from the bovine coronavirus would be effective in vaccinating against the novel coronavirus,5
197,FALSE,Federal agents arrested Harvard professor Charles Lieber for creating the coronavirus,0
198,FALSE,Charles Lieber and two Chinese students get arrested for creating the coronavirus,0
199,FALSE,"In case you missed it, yesterday, Federal Agents arrested Dr. Charles Lieber, chair of Harvard University’s Department of Chemistry and Chemical Biology, with lying to the Department of Defense about secret monthly payments of $50,000.00 paid by China and receipt of millions more to help set up a chemical/biological “Research” laboratory in China. Also arrested were two Chinese “Students” working as research assistants, one of whom was actually a lieutenant in the Chinese Army, the other captured at Logan Airport as he tried to catch a flight to China – smuggling 21 vials of “Sensitive Biological Samples” according to the FBI. Oh, almost forgot. The research lab the good professor had helped set up? It’s located at the Wuhan University of Technology. Wuhan China is ground zero to the potentially global pandemic known as the “Coronavirus”which is both spreading rapidly and killing people",7
200,FALSE,Vitamin C can stop the new coronavirus,4
201,FALSE,Consuming garlic will treat the coronavirus,0
202,FALSE,"The coronavirus pandemic can be dramatically slowed, or stopped completely, with the immediate widespread use of high doses of vitamin C",2
203,FALSE,Eating boiled garlic can cure the new coronavirus,4
204,FALSE,Drinking chlorine dioxide can cure the new coronavirus,4
205,FALSE,Drinking an industrial bleach can cure the coronavirus,0
206,FALSE,"Good news, Wuhan’s corona virus can be cured by one bowl of freshly boiled garlic water. Old Chinese doctor has proven it’s efficacy. Many patients has also proven this to be effective. Eight (8) cloves of chopped garlics add seven (7)cups of water and bring to boil., Eat and drink the boiled garlic water, overnight improvement and healing. Glad to share this",7
207,FALSE,The new coronavirus contains HIV insertions and shows signs of being created in a lab. So it was bioengineered,4
208,FALSE,"The coronavirus was man-made, rather than the natural result of people coming into contact with wild animals",15
209,FALSE,"The new coronavirus, also known as 2019 novel coronavirus, or 2019-nCoV, and HIV, largely based on an unpublished manuscript by scientists in India",5
210,FALSE,"Very short insertions in the coronavirus protein sequence had an uncanny similarity to HIV, so we can conclude they derive from HIV",0
211,FALSE,The coronavirus has been genetically engineered for the purposes of a weapon,0
212,FALSE,The new virus could have leaked from a Chinese lab working on a vaccine,11
213,FALSE,Ask yourself why they have been treating with HIV drugs from the start. The virus even responds to treatment by HIV medications. It must derive from HIV,11
214,FALSE,Chinese scientists were removed from a Canadian lab for shipping pathogens to Wuhan,7
215,FALSE,Lysol and Clorox were aware of the coronavirus before it emerged,0
216,TRUE,"People can be found to be infected, but clear of any symptoms",14
217,FALSE,The coronavirus was created by a Chinese spy team,0
218,FALSE,The virus has been patented and a vaccine is already available,11
219,FALSE,Comedian Sam Hyde was responsible for the spread of the new coronavirus,4
220,FALSE,Authorities have identified that the international chemical-warfare terrorist Samuel Whitcomb Hyde is behind the deadly China coronavirus,7
221,FALSE,"There are “thousands” or “10,000” dead as a result of the Wuhan coronavirus. As of early Jan. 27, the estimated death toll is 81 — all of them in China",7
222,FALSE,"I just received a call from a close American friend of mine who just got off the phone with a Chinese friend, who has relatives in Wuhan. He says there may already be 10,000 dead there from the virus",7
223,FALSE,A Chinese spy team working in a Canadian government lab sent pathogens to the Wuhan facility prior to the coronavirus outbreak in China,7
224,FALSE,GATES FOUNDATION & OTHERS PREDICTED UP TO 65 MILLION DEATHS from the coronavirus now spreading,0
225,FALSE,"Because Clorox and Lysol products list “Human Coronavirus” on their bottles, the new coronavirus driving the outbreak in China was already known",3
226,FALSE,A husband and wife Chinese spy team were recently removed from a Level 4 Infectious Disease facility in Canada for sending pathogens to the Wuhan facility. The husband specialized in coronavirus research,7
227,FALSE,There is connection between the outbreak of coronavirus in China and any RCMP investigation,3
